"(Intercept)" "scale(amp_EVI)" "scale(avg_LOS)" "scale(log_colony_size)" "scale(LOS)" "scale(max_EVI)" "scale(ratio)" "df" "logLik" "AICc" "delta" "weight"
"12" 0.426113741182736 -0.513094144173212 -0.131570479457095 NA -0.100267704676476 NA NA 5 -100.18279214462 211.418215868188 4.63150777540611 0.0156678739024258
"56" 0.403655703182198 -0.395835187465044 -0.0623434607086781 -0.162821947452415 NA -0.175502184014249 -0.0241361659825614 7 -97.8108065215811 211.657976679526 4.87126858674424 0.0138978195650162
"32" 0.404654834395551 -0.380838191659149 -0.060324705400911 -0.173318701334935 0.0243017873311787 -0.183612244393462 NA 7 -97.8222426013658 211.680848839095 4.89414074631381 0.0137397883427939
"16" 0.411627521298035 -0.458782645334968 -0.114188052097109 -0.184202087875299 -0.0748310943061187 NA NA 6 -99.1134570514917 211.726914102983 4.94020601020196 0.0134269415280439
"34" 0.432960424921812 -0.447145113460648 NA NA NA NA -0.0356297187613712 4 -101.637564019693 211.964783211799 5.17807511901782 0.0119213236015236
"62" 0.404318921504658 -0.356467557690089 NA -0.171095619804985 0.0318452438797939 -0.209358032899672 -0.0240591512891792 7 -97.9671851946373 211.970734025638 5.18402593285668 0.0118859055305075
"40" 0.413442626380593 -0.436152231927317 -0.119391965778228 -0.200152038027554 NA NA -0.00241225305729715 6 -99.3828801552209 212.265760310442 5.47905221766024 0.0102557666414198
"36" 0.429210098503481 -0.491860392241511 -0.139950347971442 NA NA NA -0.0356948830558544 5 -100.61597889267 212.284589364288 5.49788127150606 0.0101596665286136
"42" 0.429521775998411 -0.473806955033255 NA NA -0.10863470434677 NA -0.0379563574875366 5 -101.019307280407 213.09124613976 6.30453804697888 0.00678759873595821
"46" 0.41451516698778 -0.417628325983838 NA -0.197278126769891 -0.0813765404592089 NA -0.00313484353611863 6 -99.8373178877393 213.174635775479 6.38792768269707 0.00651040986823769
"60" 0.412775820221322 -0.436671676493638 -0.0715415621439324 NA 0.0037876427572577 -0.200284092583733 -0.0541690598837373 7 -98.6378056149742 213.311974866312 6.52526677353046 0.00607834751422371
"44" 0.425482513420836 -0.515306981239367 -0.13029119109014 NA -0.0995106560788663 NA -0.0341501103313375 6 -100.116313419477 213.732626838955 6.94591874617345 0.00492540685956504
"64" 0.403918894612418 -0.384695959986916 -0.0604095955931719 -0.166071624182787 0.0246907155800445 -0.187350912818737 -0.0244647510949809 8 -97.7907725517407 214.248211770148 7.46150367736649 0.00380613567802373
"48" 0.411601357823461 -0.459595556013637 -0.11422270885994 -0.182860369082297 -0.0749719157645084 NA -0.0047279484581729 7 -99.1122279114105 214.260819459185 7.47411136640321 0.00378221785681149
"29" 0.448213756651404 NA NA -0.275815263943375 0.243039309722419 -0.333500714827106 NA 5 -102.586206902375 216.225045383697 9.43833729091585 0.00141651213893504
"21" 0.460427582327855 NA NA -0.267443868493736 NA -0.234472252878309 NA 4 -104.131538413181 216.952731998776 10.1660239059941 0.000984476060483934
"17" 0.506379465981551 NA NA NA NA -0.283617232779744 NA 3 -105.848485451101 218.103750563218 11.3170424704365 0.000553687417483668
"31" 0.446921046969569 NA 0.0649207250889196 -0.271065324584665 0.224286607846643 -0.341872898322829 NA 6 -102.359365328942 218.218730657885 11.4320225651032 0.000522753614044429
"23" 0.456036197129285 NA 0.0935608545390001 -0.258248085645897 NA -0.257597755284206 NA 5 -103.765941610962 218.584514800872 11.7978067080906 0.000435379550401546
"61" 0.448343979446384 NA NA -0.280849165101223 0.241542550486454 -0.329759144649305 0.019919942066634 6 -102.565703741476 218.631407482952 11.8446993901702 0.00042529023395474
"25" 0.489505778731479 NA NA NA 0.165011322162345 -0.35288325764527 NA 4 -105.14690882028 218.983472812973 12.1967647201919 0.000356644388348984
"53" 0.459324650503163 NA NA -0.274510734300357 NA -0.230849180157722 0.0222677418877232 5 -104.107110157082 219.266851893111 12.4801438003298 0.000309528333567644
"5" 0.46911308163559 NA NA -0.335877030009078 NA NA NA 3 -106.513110858281 219.433001377578 12.6462932847969 0.000284853465516186
"19" 0.496672612503868 NA 0.115935612277683 NA NA -0.309749681460732 NA 4 -105.418502335024 219.526659842462 12.7399517496805 0.000271821515942346
"49" 0.506881681778879 NA NA NA NA -0.286556405793786 -0.0265406117217828 4 -105.813240875519 220.316136923451 13.5294288306698 0.000183168614443795
"27" 0.483683934479439 NA 0.0983842738928491 NA 0.151394318457474 -0.369447359560682 NA 5 -104.789091056541 220.630813692029 13.8441055992476 0.000156501991436985
"63" 0.446986038412623 NA 0.0655661807659435 -0.276631726759819 0.222953522174586 -0.337977642906757 0.0220940860306557 7 -102.3345135964 220.705390829164 13.918682736382 0.000150773719448022
"55" 0.455182801096468 NA 0.0930689579189797 -0.265045752287286 NA -0.253928205197866 0.0217322733672603 6 -103.742817442053 220.985634884107 14.1989267913254 0.000131060380741118
"57" 0.489306613172255 NA NA NA 0.166822689268661 -0.356985295274741 -0.0290472237259604 5 -105.103911390998 221.260454360944 14.4737462681628 0.000114233934209806
"37" 0.465418154286435 NA NA -0.350349491733326 NA NA 0.046313503642721 4 -106.408181534518 221.50601824145 14.7193101486689 0.000101034946305983
"7" 0.468148115442488 NA 0.0224043022702292 -0.33483819471697 NA NA NA 4 -106.495130800293 221.679916772999 14.8932086802174 9.26211200788352e-05
"13" 0.468191195035276 NA NA -0.338124930254773 0.0151526898511901 NA NA 4 -106.503922589986 221.697500352387 14.9107922596051 9.18103838034952e-05
"1" 0.537437358791562 NA NA NA NA NA NA 2 -108.767151608653 221.734303217306 14.9475951245248 9.01363904011093e-05
"51" 0.497052942488872 NA 0.11585038266743 NA NA -0.312684124778109 -0.0260934941404598 5 -105.384664840556 221.821961260059 15.0352531672776 8.62711247639074e-05
"59" 0.483627186851801 NA 0.0974080562451849 NA 0.152455798977417 -0.372855200314356 -0.0270852736150398 6 -104.752148119797 223.004296239595 16.2175881468131 4.77666387130216e-05
"39" 0.464372401894701 NA 0.0239962093031849 -0.349453648962825 NA NA 0.0470477694773743 5 -106.387145026559 223.826921632066 17.0402135392845 3.16587561114223e-05
"45" 0.464207029725028 NA NA -0.353632614565704 0.0196967561916425 NA 0.047824535786063 5 -106.392644160618 223.837919900184 17.051211807402 3.14851381790985e-05
"3" 0.535158920533032 NA 0.0330138484135123 NA NA NA NA 3 -108.739575977154 223.885931615325 17.0992235225433 3.07383104216546e-05
